icd10_ecode,icd10_mechanism,mechanism_count,icd10_intent,icd10_description,icd9_ecode,icd9_ecode_numeric,icd9_intent,icd9_mechanism,icd9_display
V46.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Car passenger injured in collision with other nonmotor vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V20.0XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Motorcycle driver injured in collision with pedestrian or animal in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y38.2X2A,OTHER_SPECIFIED,1,ASSAULT,"Terrorism involving other explosions and fragments, civilian injured, initial encounter",E979.2,979.2,ASSAULT,OTHER_SPECIFIED,"E979.2 Terrorism involving other explosives and fragments (OTHER_SPECIFIED, ASSAULT)"
V18.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pedal cycle passenger injured in noncollision transport accident in nontraffic accident, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
W16.822A,FALL,1,UNINTENTIONAL,"Jumping or diving into other water striking bottom causing other injury, initial encounter",E883.0,883,UNINTENTIONAL,FALL,"E883.0 Fall, Diving (FALL, UNINTENTIONAL)"
W21.210A,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Struck by ice hockey stick, initial encounter",E917.0,917,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.0 Other, Struck in sports, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
Y92.811,LOCATION,1,,Bus as the place of occurrence of the external cause,E849.8,849.8,,LOCATION,E849.8 Place of occurrence: Other specified places
Y38.6X3S,OTHER_NEC,1,OTHER,"Terrorism involving biological weapons, terrorist injured, sequela",E999.1,999.1,OTHER,OTHER_NEC,"E999.1 Terrorism, Late effects (OTHER_NEC, OTHER)"
T63.411A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional), initial encounter",E905.4,905.4,UNINTENTIONAL,BITES_STINGS,"E905.4 Environmental, Centipede/millipede (BITES_STINGS, UNINTENTIONAL)"
Y37.6X1S,OTHER_NEC,1,OTHER,"Military operations involving biological weapons, civilian, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
V05.01XD,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian on roller-skates injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",E805.2,805.2,UNINTENTIONAL,PEDESTRIAN_OTHER,"E805.2 Train, Hit by rolling stock, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
T65.5X1S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Toxic effect of nitroglycerin and other nitric acids and esters, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T65.5X3A,POISONING,1,ASSAULT,"Toxic effect of nitroglycerin and other nitric acids and esters, assault, initial encounter",E962.1,962.1,ASSAULT,POISONING,"E962.1 Assault, Other solid or liquid substances (POISONING, ASSAULT)"
W01.190A,FALL,1,UNINTENTIONAL,"Fall on same level from slipping, tripping and stumbling with subsequent striking against furniture, initial encounter",E888.1,888.1,UNINTENTIONAL,FALL,"E888.1 Fall, resulting in striking against other object (FALL, UNINTENTIONAL)"
W22.12XA,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Striking against or struck by front passenger side automobile airbag, initial encounter",E917.4,917.4,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.4 Other, Other stationary object, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
V00.282A,FALL,1,UNINTENTIONAL,"Pedestrian on other gliding-type pedestrian conveyance colliding with stationary object, initial encounter",E885.9,885.9,UNINTENTIONAL,FALL,"E885.9 Fall, other slipping, tripping, stumbling (FALL, UNINTENTIONAL)"
V52.1XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",E822.1,822.1,UNINTENTIONAL,TRANSPORT_OTHER,"E822.1 Nontraffic, Collision with moving object, Passenger excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
V90.29XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to falling or jumping from unspecified burning watercraft, subsequent encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
V90.30XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to falling or jumping from crushed merchant ship, subsequent encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
T44.904S,OTHER_NEC,1,UNDETERMINED,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
W36.3XXA,OTHER_SPECIFIED,1,UNINTENTIONAL,"Explosion and rupture of pressurized-gas tank, initial encounter",E921.1,921.1,UNINTENTIONAL,OTHER_SPECIFIED,"E921.1 Other, Gas cylinder explosion (OTHER_SPECIFIED, UNINTENTIONAL)"
V86.14XD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger of military vehicle injured in traffic accident, subsequent encounter",E815.1,815.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E815.1 Traffic, Other collision on a highway, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V83.7XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of special industrial vehicle injured in nontraffic accident, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V26.2XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified motorcycle rider injured in collision with other nonmotor vehicle in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V90.15XA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to canoe or kayak sinking, initial encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
T45.3X4S,OTHER_NEC,1,UNDETERMINED,"Poisoning by enzymes, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V94.31XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Injury to rider of (inflatable) recreational watercraft being pulled behind other watercraft, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V16.1XXA,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Pedal cycle passenger injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",E826.1,826.1,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E826.1 Other MV, Pedal cycle, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
W93.8XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to other excessive cold of man-made origin, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
X03.8XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other exposure to controlled fire, not in building or structure, sequela",E929.4,929.4,UNINTENTIONAL,OTHER_SPECIFIED,"E929.4 Late Effect, Fire (OTHER_SPECIFIED, UNINTENTIONAL)"
T44.4X4S,OTHER_NEC,1,UNDETERMINED,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
T59.93XA,POISONING,1,ASSAULT,"Toxic effect of unspecified gases, fumes and vapors, assault, initial encounter",E962.2,962.2,ASSAULT,POISONING,"E962.2 Assault, Other gases and vapors (POISONING, ASSAULT)"
T60.93XA,POISONING,1,ASSAULT,"Toxic effect of unspecified pesticide, assault, initial encounter",E962.1,962.1,ASSAULT,POISONING,"E962.1 Assault, Other solid or liquid substances (POISONING, ASSAULT)"
V78.7XXA,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of bus injured in noncollision transport accident in traffic accident, initial encounter",E818.8,818.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E818.8 Traffic, Other noncollision, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
V43.51XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Car driver injured in collision with sport utility vehicle in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V02.11XD,MOTOR_VEHICLE_PEDESTRIAN,1,UNINTENTIONAL,"Pedestrian on roller-skates injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",E814.7,814.7,UNINTENTIONAL,MOTOR_VEHICLE_PEDESTRIAN,"E814.7 Traffic, Collision with pedestrian, Pedestrian (MOTOR_VEHICLE_PEDESTRIAN, UNINTENTIONAL)"
Y37.411S,OTHER_NEC,1,OTHER,"Military operations involving rubber bullets, civilian, sequela",E999.0,999,OTHER,OTHER_NEC,"E999.0 War, Late effects (OTHER_NEC, OTHER)"
W33.13XD,FIREARM,1,UNINTENTIONAL,"Accidental malfunction of machine gun, subsequent encounter",E922.3,922.3,UNINTENTIONAL,FIREARM,"E922.3 Other, Military firearms (FIREARM, UNINTENTIONAL)"
T41.43XA,POISONING,1,ASSAULT,"Poisoning by unspecified anesthetic, assault, initial encounter",E962.0,962,ASSAULT,POISONING,"E962.0 Assault, Drugs and medicinal substances (POISONING, ASSAULT)"
W34.110D,OTHER_SPECIFIED,1,UNINTENTIONAL,"Accidental malfunction of airgun, subsequent encounter",E922.4,922.4,UNINTENTIONAL,OTHER_SPECIFIED,"E922.4 Other, Airgun (OTHER_SPECIFIED, UNINTENTIONAL)"
T48.0X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of oxytocic drugs, sequela",E945.0,945,OTHER,ADVERSE_EFFECTS_DRUGS,"E945.0 Adverse effects in therapeutic use, Oxytocic agents (ADVERSE_EFFECTS_DRUGS, OTHER)"
T43.505S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of unspecified antipsychotics and neuroleptics, sequela",E939.3,939.3,OTHER,ADVERSE_EFFECTS_DRUGS,"E939.3 Adverse effects in therapeutic use, Other antipsychotics, neuroleptics, and major tranquilizers (ADVERSE_EFFECTS_DRUGS, OTHER)"
T46.992A,POISONING,1,SELF_INFLICTED,"Poisoning by other agents primarily affecting the cardiovascular system, intentional self-harm, initial encounter",E950.4,950.4,SELF_INFLICTED,POISONING,"E950.4 Self-Inflicted, Other specified drugs (POISONING, SELF_INFLICTED)"
W89.1XXS,OTHER_NEC,1,UNINTENTIONAL,"Exposure to tanning bed, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
W90.1XXS,OTHER_NEC,1,UNINTENTIONAL,"Exposure to infrared radiation, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
X00.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to smoke in uncontrolled fire in building or structure, sequela",E929.4,929.4,UNINTENTIONAL,OTHER_SPECIFIED,"E929.4 Late Effect, Fire (OTHER_SPECIFIED, UNINTENTIONAL)"
V86.39XD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of other special all-terrain or other off-road motor vehicle injured in traffic accident, subsequent encounter",E815.9,815.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E815.9 Traffic, Other collision on a highway, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
V95.25XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other private fixed-wing aircraft explosion injuring occupant, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V91.87XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Other injury due to other accident to water-skis, subsequent encounter",E831.9,831.9,UNINTENTIONAL,TRANSPORT_OTHER,"E831.9 Water, Other injury, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
T44.1X1A,POISONING,1,UNINTENTIONAL,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), initial encounter",E855.3,855.3,UNINTENTIONAL,POISONING,"E855.3 Accidental poisoning, Parasympathomimetics [cholinergics] (POISONING, UNINTENTIONAL)"
Y35.013D,FIREARM,1,OTHER,"Legal intervention involving injury by machine gun, suspect injured, subsequent encounter",E970,970,OTHER,FIREARM,"E970 Legal Intervention, Firearms (FIREARM, OTHER)"
W55.09XD,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Other contact with cat, subsequent encounter",E906.8,906.8,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E906.8 Environmental, Other specified animal injury (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
T46.4X2S,OTHER_NEC,1,SELF_INFLICTED,"Poisoning by angiotensin-converting-enzyme inhibitors, intentional self-harm, sequela",E959,959,SELF_INFLICTED,OTHER_NEC,"E959 Self-Inflicted, Late effects (OTHER_NEC, SELF_INFLICTED)"
T46.4X4A,POISONING,1,UNDETERMINED,"Poisoning by angiotensin-converting-enzyme inhibitors, undetermined, initial encounter",E980.4,980.4,UNDETERMINED,POISONING,"E980.4 Unknown, Other specified drugs (POISONING, UNDETERMINED)"
V37.1XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Passenger in three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",E823.1,823.1,UNINTENTIONAL,TRANSPORT_OTHER,"E823.1 Nontraffic, Collision with stationary object, Passenger excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
Y37.210A,OTHER_SPECIFIED,1,OTHER,"Military operations involving explosion of aerial bomb, military personnel, initial encounter",E993.0,993,OTHER,OTHER_SPECIFIED,"E993.0 War, aerial bomb (OTHER_SPECIFIED, OTHER)"
W30.9XXS,OTHER_NEC,1,UNINTENTIONAL,"Contact with unspecified agricultural machinery, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
V74.3XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified occupant of bus injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
T39.092A,POISONING,1,SELF_INFLICTED,"Poisoning by salicylates, intentional self-harm, initial encounter",E950.0,950,SELF_INFLICTED,POISONING,"E950.0 Self-Inflicted, Analgesics antipyretics antirheumatics poisoning (POISONING, SELF_INFLICTED)"
V02.19XA,MOTOR_VEHICLE_PEDESTRIAN,1,UNINTENTIONAL,"Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",E814.7,814.7,UNINTENTIONAL,MOTOR_VEHICLE_PEDESTRIAN,"E814.7 Traffic, Collision with pedestrian, Pedestrian (MOTOR_VEHICLE_PEDESTRIAN, UNINTENTIONAL)"
T63.594S,OTHER_NEC,1,UNDETERMINED,"Toxic effect of contact with other venomous fish, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V76.7XXA,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of bus injured in collision with other nonmotor vehicle in traffic accident, initial encounter",E813.8,813.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E813.8 Traffic, Collision with other vehicle, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
X01.1XXA,FIRE_FLAME,1,UNINTENTIONAL,"Exposure to smoke in uncontrolled fire, not in building or structure, initial encounter",E892,892,UNINTENTIONAL,FIRE_FLAME,"E892 Fire, Fire outside (FIRE_FLAME, UNINTENTIONAL)"
V64.7XXD,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",E812.8,812.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E812.8 Traffic, Collision with motor vehicle, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
T57.93XA,POISONING,1,ASSAULT,"Toxic effect of unspecified inorganic substance, assault, initial encounter",E962.9,962.9,ASSAULT,POISONING,"E962.9 Assault, Unspecified poisoning (POISONING, ASSAULT)"
T60.0X4S,OTHER_NEC,1,UNDETERMINED,"Toxic effect of organophosphate and carbamate insecticides, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V24.2XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified motorcycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V80.02XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Occupant of animal-drawn vehicle injured by fall from or being thrown from animal-drawn vehicle in noncollision accident, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
V44.3XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
Y84.5,ADVERSE_EFFECTS_MED,1,OTHER,"Insertion of gastric or duodenal sound as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",E879.5,879.5,OTHER,ADVERSE_EFFECTS_MED,"E879.5 Reaction, Gastric/duodenal sound (ADVERSE_EFFECTS_MED, OTHER)"
V00.131D,FALL,1,UNINTENTIONAL,"Fall from skateboard, subsequent encounter",E885.2,885.2,UNINTENTIONAL,FALL,"E885.2 Fall, skateboard (FALL, UNINTENTIONAL)"
V22.5XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Motorcycle passenger injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",E822.3,822.3,UNINTENTIONAL,TRANSPORT_OTHER,"E822.3 Nontraffic, Collision with moving object, Passenger motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
Y37.111D,OTHER_SPECIFIED,1,OTHER,"Military operations involving destruction of aircraft due to enemy fire or explosives, civilian, subsequent encounter",E994.0,994,OTHER,OTHER_SPECIFIED,"E994.0 War, destruction of aircraft due to enemy fire or explosives (OTHER_SPECIFIED, OTHER)"
V43.42XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Person boarding or alighting a car injured in collision with other type car, subsequent encounter",E824.8,824.8,UNINTENTIONAL,TRANSPORT_OTHER,"E824.8 Nontraffic, Boarding/alighting, Other specified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W69.XXXS,OTHER_NEC,1,UNINTENTIONAL,"Accidental drowning and submersion while in natural water, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
V75.2XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Person on outside of bus injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",E822.8,822.8,UNINTENTIONAL,TRANSPORT_OTHER,"E822.8 Nontraffic, Collision with moving object, Other specified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V03.01XD,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian on roller-skates injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",E822.7,822.7,UNINTENTIONAL,PEDESTRIAN_OTHER,"E822.7 Nontraffic, Collision with moving object, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
V18.5XXD,PEDAL_CYCLIST_OTHER,1,UNINTENTIONAL,"Pedal cycle passenger injured in noncollision transport accident in traffic accident, subsequent encounter",E826.1,826.1,UNINTENTIONAL,PEDAL_CYCLIST_OTHER,"E826.1 Other MV, Pedal cycle, Pedal cyclist (PEDAL_CYCLIST_OTHER, UNINTENTIONAL)"
X02.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to smoke in controlled fire in building or structure, sequela",E929.4,929.4,UNINTENTIONAL,OTHER_SPECIFIED,"E929.4 Late Effect, Fire (OTHER_SPECIFIED, UNINTENTIONAL)"
V03.92XD,MOTOR_VEHICLE_PEDESTRIAN,1,UNINTENTIONAL,"Pedestrian on skateboard injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",E814.7,814.7,UNINTENTIONAL,MOTOR_VEHICLE_PEDESTRIAN,"E814.7 Traffic, Collision with pedestrian, Pedestrian (MOTOR_VEHICLE_PEDESTRIAN, UNINTENTIONAL)"
Y08.81XS,OTHER_NEC,1,ASSAULT,"Assault by crashing of aircraft, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
V54.2XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V44.6XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Car passenger injured in collision with heavy transport vehicle or bus in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
W93.01XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Contact with dry ice, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
V20.5XXD,MOTOR_VEHICLE_MOTORCYCLIST,1,UNINTENTIONAL,"Motorcycle passenger injured in collision with pedestrian or animal in traffic accident, subsequent encounter",E814.3,814.3,UNINTENTIONAL,MOTOR_VEHICLE_MOTORCYCLIST,"E814.3 Traffic, Collision with pedestrian, Motorcycle Passenger (MOTOR_VEHICLE_MOTORCYCLIST, UNINTENTIONAL)"
T46.1X1A,POISONING,1,UNINTENTIONAL,"Poisoning by calcium-channel blockers, accidental (unintentional), initial encounter",E858.3,858.3,UNINTENTIONAL,POISONING,"E858.3 Accidental poisoning, Agents primarily affecting cardiovascular system (POISONING, UNINTENTIONAL)"
V90.88XD,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to other accident to other unpowered watercraft, subsequent encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
T62.1X2S,OTHER_NEC,1,SELF_INFLICTED,"Toxic effect of ingested berries, intentional self-harm, sequela",E959,959,SELF_INFLICTED,OTHER_NEC,"E959 Self-Inflicted, Late effects (OTHER_NEC, SELF_INFLICTED)"
T62.1X4A,POISONING,1,UNDETERMINED,"Toxic effect of ingested berries, undetermined, initial encounter",E980.9,980.9,UNDETERMINED,POISONING,"E980.9 Unknown, Other/unspecified poisons (POISONING, UNDETERMINED)"
V55.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V56.3XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W55.01XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Bitten by cat, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
Y21.3XXA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion after fall into swimming pool, undetermined intent, initial encounter",E910.8,910.8,UNINTENTIONAL,DROWNING_SUBMERSION,"E910.8 Suffocation, Other accidental drowning/submersion (DROWNING_SUBMERSION, UNINTENTIONAL)"
T45.8X3S,OTHER_NEC,1,ASSAULT,"Poisoning by other primarily systemic and hematological agents, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T45.8X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of other primarily systemic and hematological agents, initial encounter",E933.6,933.6,OTHER,ADVERSE_EFFECTS_DRUGS,"E933.6 Adverse effects in therapeutic use, Oral bisphonates (ADVERSE_EFFECTS_DRUGS, OTHER)"
T45.8X5A,,,,,E933.7,933.7,OTHER,ADVERSE_EFFECTS_DRUGS,"E933.7 Adverse effects in therapeutic use, Intravenous bisphonates (ADVERSE_EFFECTS_DRUGS, OTHER)"
T45.8X5A,,,,,E933.8,933.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E933.8 Adverse effects in therapeutic use, Other systemic agents, not elsewhere classified (ADVERSE_EFFECTS_DRUGS, OTHER)"
T45.8X5A,,,,,E934.8,934.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E934.8 Adverse effects in therapeutic use, Other agents affecting blood constituents (ADVERSE_EFFECTS_DRUGS, OTHER)"
T39.011A,POISONING,1,UNINTENTIONAL,"Poisoning by aspirin, accidental (unintentional), initial encounter",E850.3,850.3,UNINTENTIONAL,POISONING,"E850.3 Accidental poisoning, Salicylates (POISONING, UNINTENTIONAL)"
V90.05XA,DROWNING_SUBMERSION,1,UNINTENTIONAL,"Drowning and submersion due to canoe or kayak overturning, initial encounter",E830.9,830.9,UNINTENTIONAL,DROWNING_SUBMERSION,"E830.9 Water, Submersion, Unspecified person (DROWNING_SUBMERSION, UNINTENTIONAL)"
